Shape,Color,Clarity,Carat Weight,Length_Width_Ratio,Depth,Table,Polish,Symmetry,Girdle,Culet,Length,Width,Height,Type,Price
Cushion Modified,F,VVS2,1.84,1.02,65.8,59,Excellent,Very Good,Medium to Thick,None,7.09,6.95,4.57,GIA Lab-Grown,2640
Pear,E,VS1,1.2,1.65,62.5,58,Very Good,Very Good,Medium to Thick,None,9.64,5.86,3.66,GIA Lab-Grown,1070
Oval,E,VS1,1.19,1.41,63.1,63,Very Good,Very Good,Medium to Thick,None,8.44,6,3.79,GIA Lab-Grown,1070
Heart,D,IF,1,1.18,61.7,58,Excellent,Excellent,Slightly Thick to Very Thick,None,5.85,6.89,4.25,GIA,7110
Radiant,H,VS1,1.01,1.35,69.4,66,Excellent,Very Good,Thick,None,6.8,5.05,3.5,GIA,3050
Oval,E,VVS2,1,1.45,59.8,57,Excellent,Very Good,Slightly Thick to Thick,None,8.19,5.63,3.36,GIA,4660
Marquise,E,VS1,1.1,2.02,61.4,61,Excellent,Excellent,Medium to Slightly Thick,Pointed,11.01,5.46,3.35,IGI Lab-Grown,1100
Heart,F,VS1,7.54,1.12,55.6,58,Excellent,Excellent,Medium to Slightly Thick,None,12.32,13.83,7.69,GIA Lab-Grown,16910
Oval,G,VS2,1.01,1.4,63,63,Excellent,Very Good,Medium to Very Thick,None,7.89,5.64,3.55,GIA,4480
Heart,E,VVS1,1.75,1.15,58.7,57,Excellent,Excellent,Medium to Very Thick,None,7.3,8.4,4.93,GIA Lab-Grown,3540
Oval,F,VS2,1.01,1.46,61.6,59,Excellent,Excellent,Medium to Slightly Thick,None,8.22,5.62,3.46,GIA,4610
Princess,H,VS1,1,1,73.6,72,Very Good,Good,Slightly Thick,None,5.51,5.5,4.05,GIA,2610
Radiant,H,VS1,1.06,1.12,69.5,66,Excellent,Very Good,Medium to Slightly Thick,None,6.08,5.41,3.76,GIA,3650
Oval,D,VVS1,1.01,1.53,58.4,64,Excellent,Very Good,Medium to Thick,None,8.71,5.71,3.33,GIA Lab-Grown,1660
Princess,E,VS1,1.08,1.02,69.9,69,Excellent,Excellent,Medium,Pointed,5.65,5.55,3.88,IGI Lab-Grown,1070
Round,E,VS1,1.59,1,60.9,59,Excellent,Excellent,Medium,Pointed,7.52,7.55,4.59,IGI Lab-Grown,1850
Pear,E,VS1,1.07,1.76,60.1,62,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.84,5.59,3.36,IGI Lab-Grown,1080
Pear,F,VS2,1.01,1.56,59.4,56,Excellent,Excellent,Slightly Thick to Very Thick,None,8.69,5.58,3.31,GIA,4320
Radiant,G,VS2,1.01,1.29,67.9,68,Excellent,Very Good,Thick to Very Thick,None,6.55,5.09,3.45,GIA,3000
Princess,E,VVS2,1.02,1.01,70.6,70,Excellent,Very Good,Medium to Slightly Thick,None,5.52,5.48,3.87,GIA Lab-Grown,1130
Princess,H,VS1,1,1,72.9,72,Excellent,Very Good,Slightly Thick to Very Thick,None,5.31,5.29,3.86,GIA,1130
Radiant,H,VVS2,1.01,1.38,68.6,64,Excellent,Excellent,Medium to Slightly Thick,None,6.91,4.99,3.43,GIA,1130
Cushion Modified,F,IF,1.3,1.03,67.1,62,Excellent,Excellent,Slightly Thick to Very Thick,None,6.25,6.08,4.08,GIA Lab-Grown,4670
Pear,D,VS1,1.01,1.6,59.9,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.13,5.69,3.41,IGI Lab-Grown,1100
Pear,D,VS2,1.01,1.57,58.7,55,Very Good,Excellent,Medium to Thick,None,8.81,5.6,3.29,GIA,3990
Princess,D,VS1,1.03,1.02,72.2,67,Excellent,Excellent,Medium to Thick,None,5.63,5.54,4,GIA Lab-Grown,1110
Radiant,F,VVS2,1.02,1.3,69.6,70,Excellent,Very Good,Thick,None,6.58,5.06,3.52,GIA,4320
Marquise,E,IF,1.71,1.96,62.3,58,Excellent,Excellent,Medium to Very Thick,None,12.09,6.18,3.85,GIA,19710
Round,G,VS2,1,1,60.3,62,Excellent,Excellent,Slightly Thick to Thick,None,6.44,6.46,3.89,GIA,4020
Princess,E,VVS2,1.04,1.02,72.3,69,Excellent,Excellent,Medium,Pointed,5.65,5.56,4.02,IGI Lab-Grown,1210
