Shape,Color,Clarity,Carat Weight,Length_Width_Ratio,Depth,Table,Polish,Symmetry,Girdle,Culet,Length,Width,Height,Type,Price
Marquise,D,VS2,1,2.04,63.5,56,Very Good,Very Good,Slightly Thick to Very Thick,None,10.53,5.15,3.27,GIA,5140
Radiant,G,VS2,1.04,1.34,68.5,66,Excellent,Excellent,Slightly Thick to Thick,None,6.87,5.12,3.51,GIA,3300
Heart,D,VS2,1.71,1.19,58,61,Excellent,Very Good,Slightly Thick to Thick,None,7.08,8.42,4.88,GIA,10550
Pear,D,VS2,1.04,1.54,64.1,54,Very Good,Very Good,Medium to Very Thick,None,8.65,5.62,3.6,GIA,4620
Marquise,E,VVS2,1.09,1.96,63.3,62,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.54,5.37,3.4,IGI Lab-Grown,1280
Round,D,VS1,1.59,1,61.5,57,Excellent,Excellent,Medium,Pointed,7.49,7.52,4.61,IGI Lab-Grown,1860
Round,G,VS2,1,1,62.6,58,Excellent,Excellent,Slightly Thick to Thick,None,6.27,6.3,3.94,GIA,3590
Princess,E,VS1,1.16,1.01,72.3,68,Excellent,Excellent,Medium,Pointed,5.76,5.73,4.14,IGI Lab-Grown,1150
Heart,D,VS1,1.69,1.13,56.3,58,Excellent,Excellent,Slightly Thick to Thick,Pointed,7.37,8.32,4.68,IGI Lab-Grown,2520
Heart,F,IF,1.02,1.17,58.9,57,Excellent,Excellent,Slightly Thick to Very Thick,None,6.02,7.02,4.14,GIA,4810
Round,H,VS2,1.04,1,60.1,59,Excellent,Excellent,Medium to Slightly Thick,None,6.55,6.57,3.94,GIA,3730
Oval,F,VS1,1.03,1.42,61.9,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.07,5.67,3.51,IGI Lab-Grown,1030
Round,H,VS1,1,1.01,63.7,59,Excellent,Excellent,Slightly Thick to Thick,None,6.25,6.3,4,GIA,4130
Heart,H,VS2,1.01,1.19,60.5,59,Excellent,Excellent,Slightly Thick to Thick,None,5.86,6.99,4.23,GIA,4380
Heart,D,VS1,2.54,1.12,58.2,57,Excellent,Excellent,Medium to Thick,None,8.5,9.56,5.56,GIA Lab-Grown,4600
Oval,E,VS1,1,1.37,57,59,Excellent,Very Good,Thick to Extremely Thick,None,7.77,5.69,3.24,GIA,4940
Pear,E,VS1,1.01,1.62,62,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.99,5.55,3.44,IGI Lab-Grown,1020
Cushion,D,VVS1,1.02,1.03,65.4,63,Excellent,Excellent,Medium to Thick,Pointed,5.85,5.66,3.7,IGI Lab-Grown,2300
Round,D,VS1,1.57,1,60.7,58,Excellent,Excellent,Medium to Slightly Thick,None,7.48,7.51,4.55,GIA Lab-Grown,1840
Cushion Modified,F,VS1,2.71,1.02,67,63,Excellent,Excellent,Slightly Thick,None,8.16,7.98,5.35,GIA Lab-Grown,6350
Radiant,F,VS1,1.03,1.44,67.5,65,Excellent,Excellent,Medium,Pointed,7.17,4.99,3.37,IGI Lab-Grown,1070
Marquise,G,VS1,1,2.01,60.5,58,Excellent,Very Good,Thick to Very Thick,None,10.31,5.12,3.1,GIA,5690
Round,E,VS1,1.57,1,61.1,58,Excellent,Excellent,Medium,Pointed,7.48,7.51,4.58,IGI Lab-Grown,1820
Oval,F,VS1,1.01,1.49,62.2,58,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.3,5.56,3.46,IGI Lab-Grown,1010
Princess,E,VS1,1.09,1.01,70.2,69,Excellent,Excellent,Medium,Pointed,5.71,5.67,3.98,IGI Lab-Grown,1080
Marquise,D,IF,1.04,1.8,61.7,63,Excellent,Excellent,Medium to Slightly Thick,None,9.85,5.46,3.37,GIA,8600
Princess,H,VS1,1.01,1,72,71,Excellent,Very Good,Slightly Thick,None,5.57,5.56,4,GIA,3220
Marquise,D,IF,1.02,2.05,59.4,60,Excellent,Excellent,Medium to Thick,None,10.88,5.32,3.16,GIA,7180
Heart,D,VVS1,1.51,1.19,54.1,61,Excellent,Excellent,Thin to Thick,None,7.02,8.32,4.5,GIA Lab-Grown,3190
Princess,F,VS2,1.01,1,73.8,74,Excellent,Very Good,Slightly Thick to Thick,None,5.46,5.45,4.02,GIA,3490
Heart,G,VS2,1,1.12,59.9,57,Excellent,Excellent,Slightly Thick to Very Thick,None,6.15,6.88,4.12,GIA,3410
Princess,E,VS2,1.01,1.01,72.6,70,Excellent,Excellent,Slightly Thick to Thick,None,5.46,5.42,3.94,GIA,3380
Cushion Modified,D,VVS1,1.02,1.03,65.9,61,Excellent,Excellent,Medium,Pointed,5.92,5.74,3.78,IGI Lab-Grown,2300
Radiant,E,VS1,1.14,1.27,67.7,66,Excellent,Excellent,Medium to Slightly Thick,Pointed,6.86,5.41,3.66,IGI Lab-Grown,1120
Marquise,D,VS1,1.09,1.9,62.5,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.36,5.46,3.41,IGI Lab-Grown,1190
Pear,G,VS2,1.02,1.59,62.9,60,Excellent,Very Good,Slightly Thick to Very Thick,None,8.84,5.56,3.5,GIA,3550
Princess,G,VVS2,1.06,1,71.4,71,Excellent,Very Good,Slightly Thick to Thick,None,5.65,5.64,4.02,GIA,3380
Heart,E,VS2,1.5,1.2,63.8,58,Excellent,Excellent,Slightly Thick to Very Thick,None,6.45,7.75,4.95,GIA,3380
Princess,G,VVS1,1.01,1.01,72.4,75,Excellent,Excellent,Medium to Slightly Thick,None,5.5,5.47,3.96,GIA,3810
Emerald,H,VS2,1,1.36,67.1,69,Excellent,Excellent,Thick to Very Thick,None,6.52,4.8,3.22,GIA,2590
Round,E,VS1,1.57,1,61.3,57,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.49,7.51,4.6,IGI Lab-Grown,1790
Radiant,G,VVS1,1,1.1,73.9,64,Very Good,Very Good,Very Thick,None,5.65,5.12,3.78,GIA,4020
Heart,F,VS1,1.5,1.23,65.1,62,Excellent,Excellent,Extremely Thick,None,6.04,7.44,4.85,GIA,9110
Cushion Modified,E,VVS1,1.87,1.05,68.2,60,Excellent,Excellent,Medium to Very Thick,None,7.19,6.86,4.68,GIA Lab-Grown,3630
Princess,E,VS1,1.08,1,72.9,69,Excellent,Excellent,Slightly Thick,None,5.59,5.59,4.08,GIA Lab-Grown,1070
Heart,E,VS1,1.56,1.12,54.6,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.31,8.2,4.48,IGI Lab-Grown,2010
Heart,G,VVS1,1.01,1.17,55.2,60,Excellent,Excellent,Medium to Thick,None,6.13,7.16,3.95,GIA,5210
Princess,E,VS2,1.03,1,71.8,70,Excellent,Excellent,Slightly Thick to Thick,None,5.52,5.5,3.95,GIA,5210
Heart,D,VS2,1.06,1.18,58.8,56,Excellent,Excellent,Thin to Very Thick,None,6.16,7.27,4.28,GIA,5470
Heart,E,IF,2.57,1.15,58.7,58,Excellent,Excellent,Thin to Very Thick,None,8.38,9.67,5.68,GIA Lab-Grown,14220
Marquise,E,VS1,1.1,2.01,63.4,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.81,5.38,3.41,IGI Lab-Grown,1100
Marquise,E,VS1,1.28,1.96,62.7,61,Excellent,Excellent,Medium to Thick,Pointed,11.11,5.66,3.55,IGI Lab-Grown,1270
Radiant,F,VS1,1.02,1.47,65.5,65,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.3,4.98,3.26,IGI Lab-Grown,1120
Pear,H,VS2,1,1.61,63.9,61,Very Good,Excellent,Medium to Very Thick,None,8.77,5.46,3.49,GIA,3110
Round,H,VS2,1,1.01,62.3,59,Excellent,Excellent,Medium to Slightly Thick,None,6.36,6.4,3.97,GIA,3750
Princess,G,VS2,1.01,1,70.7,74,Excellent,Excellent,Slightly Thick to Thick,None,5.57,5.56,3.93,GIA,3000
Heart,D,VS1,1.51,1.13,54.5,60,Excellent,Excellent,Slightly Thick,Pointed,7.19,8.11,4.42,IGI Lab-Grown,2110
Pear,G,VVS1,1.05,1.5,62.9,62,Excellent,Excellent,Medium to Thick,None,8.61,5.75,3.62,GIA,4930
Round,H,VS1,1,1.01,63.5,60,Excellent,Excellent,Thin to Thick,None,6.25,6.3,3.99,GIA,4150
Heart,F,VS1,1.55,1.14,54.5,58,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.24,8.22,4.48,IGI Lab-Grown,1890
Oval,E,VS1,1.09,1.42,62.8,58,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.3,5.84,3.67,IGI Lab-Grown,1060
Princess,F,VVS2,1.05,1.02,72.2,68,Excellent,Excellent,Medium to Slightly Thick,Pointed,5.64,5.53,3.99,IGI Lab-Grown,1170
Heart,E,VVS2,3.23,1.15,57,58,Excellent,Very Good,Medium to Thick,None,9.14,10.5,5.99,GIA Lab-Grown,7010
Princess,H,VS1,1.01,1.05,70.7,73,Excellent,Excellent,Slightly Thick to Thick,None,5.68,5.41,3.83,GIA,3310
Heart,D,VVS2,1.52,1.06,60,61,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.39,7.83,4.7,IGI Lab-Grown,2570
Radiant,D,VS1,1.17,1.25,68,66,Excellent,Very Good,Slightly Thick to Thick,None,6.92,5.52,3.75,GIA Lab-Grown,1180
Radiant,G,VVS1,1.06,1.31,68.8,65,Excellent,Excellent,Thick to Very Thick,None,6.54,5.01,3.44,GIA,4410
Marquise,D,VS1,1.14,1.82,62.1,59,Excellent,Excellent,Medium,Pointed,10.18,5.59,3.47,IGI Lab-Grown,1240
Pear,E,VS1,1.09,1.64,61.4,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.47,5.77,3.54,IGI Lab-Grown,1100
Cushion Modified,F,VVS1,2.28,1.03,68,63,Excellent,Excellent,Thin to Slightly Thick,None,7.57,7.37,5.01,GIA Lab-Grown,4110
Pear,D,VS1,1,1.49,63.5,60,Excellent,Excellent,Slightly Thick to Thick,None,8.32,5.58,3.54,GIA,3850
Radiant,F,VVS2,1.01,1.36,68.6,63,Excellent,Excellent,Thick to Very Thick,None,6.62,4.87,3.34,GIA,4090
Oval,F,VVS2,1.01,1.39,64.7,63,Excellent,Very Good,Thick to Very Thick,None,7.6,5.45,3.52,GIA,4560
Heart,D,VS1,3.21,1.06,57.4,56,Excellent,Excellent,Slightly Thick to Thick,Pointed,9.52,10.05,5.77,IGI Lab-Grown,7490
Radiant,F,VS1,1.08,1.45,66.9,67,Excellent,Excellent,Thin to Slightly Thick,Pointed,7.33,5.05,3.38,IGI Lab-Grown,1110
Round,D,VS1,1.59,1,62.4,56,Excellent,Excellent,Medium to Slightly Thick,None,7.45,7.48,4.66,GIA Lab-Grown,1860
Marquise,D,VVS2,1.01,2,59.9,61,Excellent,Excellent,Medium to Thick,None,10.47,5.24,3.14,GIA,6000
Heart,E,VS1,2.63,1.12,54.6,61,Excellent,Excellent,Medium to Thick,Pointed,8.7,9.74,5.32,IGI Lab-Grown,4350
Pear,F,VS1,1.15,1.55,63.1,58,Excellent,Excellent,Medium to Thick,None,9.11,5.88,3.72,GIA Lab-Grown,1130
Radiant,E,VS1,1,1.3,65.8,67,Excellent,Very Good,Medium to Thick,None,6.76,5.2,3.42,GIA,4420
Emerald,G,VS2,1,1.3,72.1,63,Excellent,Very Good,Thick to Very Thick,None,6.16,4.75,3.43,GIA,2910
Oval,D,VS1,1,1.3,65.4,59,Excellent,Very Good,Slightly Thick to Very Thick,None,7.34,5.63,3.68,GIA,5120
Round,H,VS2,1,1,62.6,60,Excellent,Excellent,Slightly Thick to Thick,None,6.33,6.36,3.97,GIA,3790
Cushion Modified,D,VVS2,1.45,1.01,64.9,62,Excellent,Excellent,Medium to Slightly Thick,Pointed,6.63,6.58,4.27,IGI Lab-Grown,2670
Princess,H,VVS1,1.09,1.05,73.7,74,Excellent,Excellent,Slightly Thick,None,5.67,5.41,3.99,GIA,3110
Marquise,E,VS1,1.02,1.97,60.8,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.48,5.33,3.24,IGI Lab-Grown,1200
Pear,E,VVS1,1.01,1.52,64.6,65,Excellent,Excellent,Medium to Thick,None,8.39,5.52,3.57,GIA,4580
Round,D,VS1,1.58,1,61.2,58,Excellent,Excellent,Medium to Slightly Thick,None,7.47,7.5,4.58,GIA Lab-Grown,1850
Pear,E,VS1,1.1,1.6,62.7,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.19,5.76,3.61,IGI Lab-Grown,1100
Round,E,VS1,1.56,1,62,56,Excellent,Excellent,Medium,Pointed,7.42,7.44,4.6,IGI Lab-Grown,1810
Princess,H,VS2,1.21,1.03,74.9,75,Excellent,Very Good,Thick to Very Thick,None,5.86,5.71,4.28,GIA,3650
Heart,E,VS1,3.88,1.13,56.1,59,Excellent,Excellent,Medium to Slightly Thick,None,9.83,11.1,6.22,GIA Lab-Grown,8490
Pear,D,VS2,1.01,1.62,62.8,62,Excellent,Excellent,Thick to Very Thick,None,8.88,5.49,3.45,GIA,4660
Round,E,VS1,1.52,1,61.6,57,Excellent,Excellent,Medium,None,7.38,7.4,4.55,GIA Lab-Grown,1730
Princess,E,VS1,1.09,1,72.8,70,Excellent,Excellent,Thick,None,5.61,5.6,4.08,GIA Lab-Grown,1080
Oval,G,VS2,1,1.33,65.1,63,Excellent,Very Good,Slightly Thick to Very Thick,None,7.45,5.6,3.65,GIA,3680
Heart,G,VVS2,1,1.12,58,59,Excellent,Very Good,Thick to Very Thick,None,6.05,6.79,3.94,GIA,4230
Pear,D,VS2,1,1.48,61.9,65,Excellent,Very Good,Medium to Very Thick,None,8.39,5.65,3.5,GIA,3200
Cushion Modified,D,VVS2,2.07,1.01,68.7,63,Excellent,Excellent,Slightly Thick to Thick,None,7.45,7.34,5.04,GIA Lab-Grown,4380
Pear,E,VS1,1.04,1.62,61,59,Excellent,Excellent,Medium to Thick,None,9.21,5.68,3.47,GIA Lab-Grown,1050
Radiant,G,VVS1,1.01,1.3,68.9,67,Very Good,Very Good,Slightly Thick to Thick,None,6.79,5.21,3.59,GIA,5160
Pear,D,VS1,1,1.56,60.7,61,Excellent,Very Good,Thin to Slightly Thick,None,8.91,5.7,3.46,GIA Lab-Grown,1040
Emerald,F,VS1,1,1.45,69.3,68,Excellent,Good,Slightly Thick to Thick,None,6.78,4.66,3.23,GIA,2840
Princess,D,VS1,1.09,1,72.6,66,Very Good,Excellent,Slightly Thick to Thick,None,5.62,5.61,4.08,GIA Lab-Grown,1120
Pear,E,VS1,1.07,1.57,61.7,58,Excellent,Excellent,Slightly Thick to Thick,None,9.05,5.75,3.55,GIA Lab-Grown,1080
Pear,F,VS1,1.01,1.52,58,54,Excellent,Excellent,Slightly Thick to Very Thick,None,8.67,5.72,3.32,GIA,4550
Round,H,VS2,1,1.01,60.7,61,Excellent,Excellent,Medium to Slightly Thick,None,6.4,6.45,3.9,GIA,4000
Oval,F,VS1,1.12,1.4,62.6,60,Excellent,Excellent,Medium to Slightly Thick,None,8.24,5.89,3.69,GIA Lab-Grown,1070
Oval,G,VS1,1,1.35,61.6,63,Excellent,Excellent,Medium to Thick,None,7.83,5.81,3.58,GIA,4910
Pear,F,VS1,1.1,1.63,62.3,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.25,5.68,3.54,IGI Lab-Grown,1080
Radiant,E,VS1,1.14,1.44,68,66,Excellent,Excellent,Medium,Pointed,7.39,5.13,3.49,IGI Lab-Grown,1140
Oval,G,IF,1,1.38,61,60,Excellent,Very Good,Slightly Thick to Very Thick,None,7.72,5.61,3.42,GIA,4950
Princess,D,VS1,1.04,1.03,72.9,68,Excellent,Excellent,Medium to Slightly Thick,None,5.66,5.51,4.02,GIA Lab-Grown,1120
Marquise,E,VS2,1.31,1.95,62.7,59,Excellent,Excellent,Slightly Thick to Very Thick,None,11.03,5.65,3.54,GIA,8120
Radiant,H,VS2,1.01,1.32,69.1,62,Excellent,Excellent,Thick to Very Thick,None,6.65,5.05,3.49,GIA,2930
Pear,F,VS1,1.1,1.58,60.1,60,Excellent,Excellent,Medium,Pointed,9.35,5.91,3.55,IGI Lab-Grown,1080
Marquise,G,VS2,1.05,2.1,62,61,Excellent,Good,Slightly Thick to Thick,None,10.87,5.17,3.21,GIA,6500
Marquise,D,VS1,1.08,2.01,63.1,59,Excellent,Excellent,Thin to Medium,Pointed,10.75,5.34,3.37,IGI Lab-Grown,1180
Marquise,E,VS1,1.09,1.96,62.7,58,Excellent,Excellent,Thin to Medium,Pointed,10.62,5.42,3.4,IGI Lab-Grown,1100
Marquise,D,VS1,1.11,2.07,60.9,59,Excellent,Excellent,Thin to Medium,Pointed,11.21,5.42,3.3,IGI Lab-Grown,1210
Princess,D,VS1,1.02,1.01,71.9,70,Excellent,Excellent,Thin to Medium,None,5.58,5.52,3.97,GIA Lab-Grown,1100
Round,H,VS2,1.02,1,59.8,60,Very Good,Excellent,Medium to Slightly Thick,None,6.51,6.53,3.9,GIA,3680
Heart,F,VS2,1.5,1.24,63.8,60,Excellent,Excellent,Very Thick to Extremely Thick,None,5.97,7.39,4.72,GIA,6050
Round,D,VS1,1.58,1,61.8,58,Excellent,Excellent,Medium to Slightly Thick,None,7.44,7.47,4.61,GIA Lab-Grown,1850
Marquise,D,VS2,1.72,1.9,65.1,60,Excellent,Excellent,Thick to Very Thick,None,11.91,6.26,4.07,GIA,17280
Princess,E,VS1,1.09,1,72.2,69,Excellent,Excellent,Medium,Pointed,5.59,5.58,4.03,IGI Lab-Grown,1080
Princess,E,VVS2,1.03,1.01,71.9,70,Excellent,Excellent,Medium,Pointed,5.54,5.49,3.95,IGI Lab-Grown,1080
Oval,H,VVS2,1.01,1.56,57.6,63,Excellent,Very Good,Medium to Slightly Thick,None,8.73,5.6,3.23,GIA,4270
Princess,G,IF,1.02,1,74.6,71,Excellent,Very Good,Medium to Thick,None,5.39,5.38,4.02,GIA,4110
Cushion Modified,E,VVS1,2.13,1.03,66.4,59,Excellent,Excellent,Slightly Thick to Thick,None,7.48,7.24,4.81,GIA Lab-Grown,4110
Princess,E,VS1,1.06,1.01,70.8,70,Excellent,Excellent,Medium,Pointed,5.57,5.52,3.91,IGI Lab-Grown,1050
Princess,E,VS1,1,1.01,72.2,71,Excellent,Excellent,Medium to Slightly Thick,None,5.6,5.53,3.99,GIA,4060
Princess,E,VS2,1.01,1,73.4,74,Excellent,Very Good,Medium to Slightly Thick,None,5.57,5.56,4.08,GIA,3280
Round,H,VS1,1.02,1.01,62.1,59,Excellent,Excellent,Medium to Slightly Thick,None,6.39,6.43,3.98,GIA,4100
Heart,E,VS2,1.2,1.14,57.7,64,Excellent,Excellent,Slightly Thick to Very Thick,None,6.53,7.43,4.29,GIA,5060
Round,D,VS1,1.51,1,61.2,57,Excellent,Excellent,Medium to Slightly Thick,None,7.39,7.4,4.52,GIA Lab-Grown,1770
Marquise,G,VVS2,1,1.87,65.9,57,Very Good,Very Good,Thick to Very Thick,None,9.75,5.22,3.44,GIA,4800
Emerald,H,VS2,1,1.49,69.7,64,Excellent,Very Good,Slightly Thick to Very Thick,None,6.77,4.55,3.17,GIA,2630
Marquise,G,VS1,1,1.76,65.9,61,Excellent,Very Good,Thick to Very Thick,None,9.22,5.25,3.46,GIA,4090
Radiant,H,VS1,1,1.25,67.5,69,Very Good,Very Good,Medium to Slightly Thick,None,6.53,5.21,3.52,GIA,3150
Pear,F,VS1,1.19,1.58,61.7,62,Excellent,Very Good,Medium to Thick,None,9.37,5.94,3.67,GIA Lab-Grown,1110
Princess,H,VS1,1,1.01,75.1,73,Excellent,Very Good,Thick to Very Thick,None,5.37,5.31,3.99,GIA,3890
Cushion Modified,F,VS1,3.02,1.01,66.2,65,Excellent,Excellent,Slightly Thick to Thick,None,8.48,8.42,5.57,GIA Lab-Grown,5230
Princess,G,VS2,1.01,1.02,72.4,73,Excellent,Very Good,Thick,None,5.6,5.47,3.96,GIA,2660
Pear,E,VS1,1.07,1.64,61.5,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.38,5.72,3.52,IGI Lab-Grown,1080
Radiant,G,VS1,1.01,1.22,64.4,78,Very Good,Good,Thin to Slightly Thick,None,6.66,5.47,3.53,GIA,5450
Cushion Modified,D,VVS1,2.76,1.01,66.5,59,Excellent,Excellent,Slightly Thick to Very Thick,Pointed,8.13,8.07,5.37,IGI Lab-Grown,6530
Oval,G,VS2,1.05,1.46,62.8,56,Excellent,Excellent,Slightly Thick to Thick,None,8.15,5.57,3.5,GIA,4670
Pear,D,VVS2,1,1.45,66.3,62,Excellent,Excellent,Thick to Very Thick,None,8.04,5.55,3.68,GIA,4130
Pear,E,VS1,1.08,1.6,62,58,Excellent,Excellent,Slightly Thick to Thick,None,9.15,5.73,3.55,GIA Lab-Grown,1090
Oval,F,VS1,1.09,1.41,61.7,58,Excellent,Excellent,Medium to Slightly Thick,None,8.3,5.87,3.62,GIA Lab-Grown,1050
Princess,E,VVS2,1.05,1.01,72.2,68,Excellent,Excellent,Thick,None,5.5,5.45,3.94,GIA Lab-Grown,1210
Radiant,E,VVS2,1.01,1.34,66.8,69,Excellent,Very Good,Thick to Very Thick,None,6.71,5.02,3.36,GIA,1210
Cushion,E,VS1,2.8,1,66.5,65,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.25,8.21,5.46,IGI Lab-Grown,4510
Emerald,H,VS2,1,1.36,63.8,69,Excellent,Excellent,Slightly Thick to Thick,None,6.64,4.88,3.11,GIA,2910
Round,E,VS2,1.01,1.01,63.1,59,Excellent,Very Good,Slightly Thick to Thick,None,6.29,6.38,4,GIA,2910
Radiant,F,VS1,1.06,1.44,68.4,64,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.22,5,3.42,IGI Lab-Grown,1090
Radiant,G,VS1,1.01,1.31,68.4,67,Excellent,Excellent,Thick to Very Thick,None,6.54,5.01,3.43,GIA,2930
Round,E,VS1,1.59,1.01,61.2,57,Excellent,Excellent,Medium,Pointed,7.51,7.55,4.6,IGI Lab-Grown,1850
Round,E,VS1,1.58,1,62.2,59,Excellent,Excellent,Medium to Slightly Thick,None,7.43,7.45,4.63,GIA Lab-Grown,1800
Radiant,H,VVS2,1.2,1.28,69.9,65,Excellent,Excellent,Slightly Thick to Thick,None,6.85,5.36,3.74,GIA,4920
Oval,H,VVS2,1.01,1.56,55.8,62,Very Good,Good,Medium to Slightly Thick,None,8.82,5.67,3.17,GIA,3630
Pear,G,VS2,1.2,1.53,61.2,55,Excellent,Excellent,Very Thick,None,8.94,5.83,3.57,GIA,5000
Oval,E,VS1,1.09,1.46,61.5,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.48,5.82,3.58,IGI Lab-Grown,1060
Heart,D,VVS2,1.5,1.16,61.1,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,6.74,7.82,4.78,IGI Lab-Grown,2540
Oval,F,VS1,1.01,1.45,59.9,61,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.19,5.66,3.39,IGI Lab-Grown,1010
Heart,F,VS1,1.51,1.21,60,62,Excellent,Excellent,Thick to Extremely Thick,None,6.55,7.92,4.75,GIA,7210
Cushion Modified,F,VS1,2.06,1.01,66.8,64,Excellent,Excellent,Medium to Thick,None,7.39,7.35,4.91,GIA Lab-Grown,2990
Round,H,VS1,1,1.01,63.6,57,Excellent,Excellent,Thin to Medium,None,6.31,6.36,4.03,GIA,3560
Radiant,F,VVS2,1.04,1.45,67.6,68,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.23,5,3.38,IGI Lab-Grown,1280
Marquise,D,VS1,1.15,1.98,62.8,58,Excellent,Very Good,Medium to Slightly Thick,None,10.92,5.51,3.46,GIA Lab-Grown,1190
Oval,D,VS1,1.01,1.48,61.5,57,Excellent,Excellent,Thick to Very Thick,None,8.2,5.53,3.4,GIA,4530
Radiant,F,VS1,1.03,1.45,68.1,66,Excellent,Excellent,Medium,Pointed,7.25,4.99,3.4,IGI Lab-Grown,1070
Radiant,E,VVS2,1.09,1.43,66.7,65,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.28,5.08,3.39,IGI Lab-Grown,1250
Radiant,E,VS1,1.26,1.44,67.7,65,Excellent,Excellent,Medium,Pointed,7.65,5.33,3.61,IGI Lab-Grown,1220
Princess,G,VS1,1.01,1.03,75.5,72,Very Good,Very Good,Thick,None,5.56,5.38,4.06,GIA,3140
Marquise,G,VS2,1,1.85,64.3,61,Excellent,Very Good,Thin to Thick,None,9.6,5.18,3.33,GIA,4230
Radiant,E,VS1,1.05,1.4,64.8,66,Excellent,Excellent,Medium,Pointed,7.33,5.23,3.39,IGI Lab-Grown,1250
Radiant,H,VS2,1.04,1.11,70.2,68,Excellent,Very Good,Slightly Thick,None,5.95,5.37,3.77,GIA,3290
Princess,D,VS1,1.05,1,73.3,69,Excellent,Excellent,Slightly Thick,Pointed,5.45,5.43,3.98,IGI Lab-Grown,1130
Princess,G,VS2,1.2,1.02,74.1,74,Excellent,Very Good,Thick,None,5.77,5.63,4.17,GIA,4070
Marquise,E,VVS2,1.05,1.94,61,57,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.54,5.44,3.32,IGI Lab-Grown,1500
Radiant,D,VS2,1.02,1.29,68.3,67,Excellent,Excellent,Thick to Very Thick,None,6.44,5.01,3.42,GIA,3660
Oval,H,VS2,1.01,1.43,60.2,57,Excellent,Very Good,Slightly Thick to Very Thick,None,8.02,5.59,3.37,GIA,3640
Round,E,VS1,1.59,1,61.7,56,Excellent,Excellent,Medium,None,7.49,7.52,4.63,GIA Lab-Grown,1810
Round,E,VS1,1.52,1,60.2,58,Excellent,Excellent,Medium,None,7.46,7.48,4.5,GIA Lab-Grown,1730
Oval,E,VS1,1.01,1.41,63,56,Excellent,Very Good,Thick to Very Thick,None,7.92,5.6,3.53,GIA,4170
Pear,E,VS2,1,1.52,62.8,59,Excellent,Very Good,Thin to Very Thick,None,8.47,5.59,3.51,GIA,2990
Radiant,G,VVS1,1,1.26,69.5,70,Excellent,Excellent,Very Thick to Extremely Thick,None,6.15,4.89,3.4,GIA,3640
Radiant,H,VS2,1,1.4,67.8,66,Excellent,Very Good,Thick to Very Thick,None,6.91,4.95,3.36,GIA,2880
Round,H,VS2,1,1.01,62.6,58,Excellent,Excellent,Slightly Thick,None,6.37,6.41,4,GIA,3820
Marquise,D,VVS2,1.08,1.99,63.9,56,Excellent,Excellent,Slightly Thick to Thick,None,10.67,5.37,3.43,GIA Lab-Grown,1390
Heart,H,VS2,1.7,1.15,57.7,56,Excellent,Excellent,Medium to Very Thick,None,7.2,8.29,4.78,GIA,1390
Princess,E,VS1,1.16,1.01,72,65,Excellent,Excellent,Medium to Slightly Thick,None,5.75,5.72,4.12,GIA Lab-Grown,1150
Marquise,G,VS2,1,1.85,63.6,61,Excellent,Very Good,Slightly Thick to Very Thick,None,9.71,5.25,3.34,GIA,4660
Marquise,G,VS2,1.01,2.06,59.4,60,Excellent,Very Good,Slightly Thick to Thick,None,10.83,5.27,3.13,GIA,4970
Oval,G,VS2,1,1.35,62.5,57,Excellent,Very Good,Medium to Thick,None,7.7,5.7,3.56,GIA,4540
Heart,F,VS1,1.01,1.19,58.9,63,Very Good,Excellent,Slightly Thick to Very Thick,None,5.9,7.05,4.15,GIA,4650
Heart,D,VS1,2.2,1.13,55.2,66,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.1,9.17,5.06,IGI Lab-Grown,3880
Princess,G,VS2,1.01,1,74.4,73,Excellent,Very Good,Thick,None,5.51,5.49,4.09,GIA,3350
Pear,E,VS1,1,1.47,64.8,59,Excellent,Excellent,Thick to Very Thick,None,8.19,5.58,3.61,GIA,4770
Round,H,VS1,1.02,1.01,62.8,58,Excellent,Excellent,Thin to Slightly Thick,None,6.34,6.4,4,GIA,3930
